Description,Rating
"gnss phy/rtl design engineer apple san diego, ca  summary posted: jan 23, 2020 role number:200144147 would you like to join apple’s growing wireless silicon development team? our wireless soc organization is responsible for all aspects of wireless silicon development with a particular emphasis on highly energy efficient design and new technologies that transform the user experience at the product level, all of which is driven by a world-class vertically integrated engineering team spanning rf/analog architecture and design, systems/phy/mac architecture and design, vlsi/rtl design and integration, emulation, design verification, test and validation, and fw/sw engineering. as a gnss phy/rtl design engineer, you will be at the center of the silicon design group with a meaningful role getting functional products to millions of customers quickly. wouldn't you love a dynamic yet challenging role as a phy/rtl design engineer here at apple? key qualifications 7+ years of hands-on experience and 5+ years of experience with power efficient gnss phy design good knowledge in modern design techniques and energy-efficient/low power logic design solid background in computer architecture including one or more of the following: bus fabric, especially apb/ahb/axi tiered memory systems system debug architecture power management with multiple power domains integer and floating-point numeric units high-speed data path and control units track record of bringing logic designs into mass production ability to work well in a team and be productive under aggressive schedules excellent communication skills and self-motivation/organization experience with fpga and/or emulation platform desired ability to drive strong production test/qa methodologies a plus description in this role, you will develop signal processing intensive design for gnss socs, including: microarchitecture definition ip integration, rtl logic design, and verification support running tools to ensure lint-free and cdc clean design synthesis and timing constraints collaboration with system/algorithm and firmware team to ensure performance and power efficiency education & experience bs is required, msee/phd preferred",1
"environmental control and life support system (eclss) engineer - human spaceflight syncroness denver, co  complex problems. inspired solutions.  syncroness, inc. job title: eclss engineer  who we are syncroness provides inspired solutions to highly complex business and technical problems. we focus on accelerating time-to-market and ensuring a profitable outcome for our clients.  by providing a full complement of engineering services aligned to the entire product lifecycle, syncroness enables companies to accelerate product development and drive more predictability and productivity into their businesses. working with syncroness, companies gain the critical insights necessary to develop products that make a difference and create a better world. we provide proven value and predictable results in demanding and regulated markets by employing our core competencies in: project management product and system engineering core engineering disciplines knowledge integration npd and sustaining engineering  essential duties and responsibilities include the following. other duties may be assigned. to perform this job successfully, an individual must be able to perform each essential duty satisfactorily. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.  responsible for design, development, and testing of thermal control components and systems for future space habitats in a hands-on environment. provides accurate modeling of the thermal environment of spacecraft habitats oversees the design and manufacture of hardware that controls the habitat environment conducts tests to verify performance, and develop the systems through flight qualification.  education/experience bachelor's degree in mechanical, bio-mechanical, aerospace engineering or equivalent field and 5-8 years with system and/or hardware design and analysis experience master's degree in mechanical, bio-mechanical, aerospace engineering or equivalent field and 4-6 years with system and/or hardware design and analysis experience phd degree in mechanical, bio-mechanical, aerospace engineering or equivalent field and 0-2 years with system and /or hardware design experience in the aerospace industry.  qualifications the requirements listed below are representative of the knowledge, skill, and/or ability required. knowledge and experience with spacecraft, spacesuits, aircraft, military, or habitat environmental control and life support systems, subsystems, assemblies, and/or components. knowledge and experience with the engineering product lifecycle, ranging from requirements development through design, manufacture, test, and operations. knowledge and skills in applying engineering principles and procedures to develop practical and tailored engineering solutions. skill in microsoft office applications (excel, word, powerpoint, visio, project) ability to effectively communicate in both written and spoken form ability to establish and maintain effective, positive work relationships; have creativity, flexibility and resourcefulness; have discriminating judgment, tact and sense of humor ability to evaluate junior engineer's designs and concepts and provide expert advice that will enhance the resulting designs ability and proficiency in job-required software applications ideally, but not required, ability to serve as project manager on projects with well-defined scope and objectives ability to train junior engineers in their duties  desired skills ideally, but not required, knowledge and experience in thermal control systems, crew systems, cabin design, mechanical design, mechanical analysis, or thermal analysis ideally, but not required, knowledge of, and skills in, cad software (e. g. solidworks), and product data management tools such as windchill, or solidworks pdm ideally, but not required, skills in project budgeting and forecasting this position requires the eligibility to obtain a dod security clearance. non-us citizens may not be eligible to obtain a security clearance. the defense industrial security clearance office (disco), an agency of the department of defense, handles and adjudicates the security clearance process. security clearance factors include, but are not limited to, allegiance to the us, foreign influence, foreign preference, criminal conduct, security violations and drug involvement. employment is contingent on other factors, including, but not limited to, background checks and drug screens this job description doesn't constitute a contract of employment and syncroness may exercise its employment-at-will rights at any time.  syncroness is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, among other things, or status as a qualified individual with disability.",-1
"structural design engineer apex engineers inc denver, co 80205  description: position responsibilities apex is seeking a design engineer to join our growing team of structural engineers. this entry to early mid-level role is an exciting opportunity to grow your skills as an engineer. for this position, we are specifically looking for a design engineer interested in tackling our residential projects. you’ll get to work on everything from high-end custom residences to remodels and additions for existing homes.  as a design engineer, you’ll start by learning the in’s and out’s of apex’s residential design standards. from there, you will move onto mastering work requiring the application of standard structural engineering techniques and procedures. you will work under the direct supervision and mentorship of at least one senior engineer and project manager with the goal of developing more advanced applied engineering skills. our projects use all types of construction materials, and no two projects area never the same. you’ll probably pick up some commercial work here and there as well- this is a job with a lot of variety.  we are looking for a design engineer who is ready to drive operational excellence in working with internal teams and apex clients. we need someone ready to learn and use office solutions to manage project documentation and participate in the project billing process. we are excited to find someone ready to be a part of our culture of learning which offers excellent long-term career development and growth opportunities.  company summary founded in 2003, apex engineers still operates with the vision of creating an engineering firm that delivers great client service for residential and commercial construction projects. from the beginning, we’ve operated under the idea that the quality of our work will speak for itself. that includes our process for building our team. without our team of talented and committed individuals, apex would not exist. the quality, capacity and integrity of the people we hire, retain and promote defines apex as a company. we support our team in their continued growth through mentorship and professional development opportunities. serving our clients, delivering on projects, and solving engineering problems are all team sports. determination and persistence in solving problems and approaching all aspects of our business is a defining characteristic of our company and the people we hire. we are proud of the work we do and maintain a work culture where people are honored to call apex their home.  requirements: education requirements  minimum of a bachelor’s degree in civil, architectural or structural engineering required. minimum of a 3.0 gpa strongly preferred.  certification / license requirements  eit  qualifications / skills / attributes  two or more year or more of experience in structural design for residential construction projects (preferred). experience in computer applications for engineering design (autocad, revit, risa, etc). revit experience is a requirement for this position. prior internship and/or related structural consulting experience preferred. previous construction experience (preferred). involvement on campus or in the community. excellent verbal and written communication skills. strong problem solving and analytical skills. able to effectively handle multiple projects. demonstrated leadership skills. strong focus on customer service, operational excellence, and process improvement knack for process improvement; desire to step in and offer solutions  physical requirements the physical demands described here are representative of those that must be met by a teammate to successfully perform the essential functions of this job. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. this position is primarily office based requiring prolonged periods of sitting at a desk. must be able to remain in a stationary position 75% of the day. the person in this position frequently communicates with clients over the telephone and in person. must be able to exchange accurate information in these situations. while performing the duties of this job, the employee is regularly required to, stand, sit; talk, hear, and use hands and fingers to operate a computer and telephone keyboard reach. specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and ability to adjust focus due to computer work and plan design work. this includes the ability or read/interpret small writing on plans and drawings.  working conditions the worker is subject to both indoor and outdoor environmental conditions. while in the office, the worker is not substantially exposed to adverse environmental conditions. the worker is subject to both indoor and outdoor environmental conditions. while in the field, the worker is subject to both extreme cold and heat. inspections may require the worker to perform in temperatures below 32 degrees for periods of more than one hour. inspections may require the worker to perform in temperatures above 100 degrees for periods of more than one hour. while in the field, the worker is subject to the loud noise of a typical construction site. there is sufficient noise to cause the worker to shout in order to be heard above ambient noise level. the worker is subject to the physical hazards of a typical construction site including proximity to moving mechanical parts, moving vehicles, and working on scaffolding and high places.",-1
"water lead - seattle ghd lynnwood, wa  ghd is one of the world’s leading professional services companies operating in the global markets of water, environment, energy and resources, property and buildings, and transportation.  privately owned by our people, ghd provides engineering, environmental and construction services to private and public sector clients across five continents. focused on creating lasting community benefit, our connected global network of 10,000 people deliver projects with high standards of safety, quality and ethics.  committed to sustainable development, ghd improves the physical, natural and social environments of the many communities in which we operate.  we have a current need for a senior water project manager for our northwest region operations to be based in our seattle, wa office.  ghd is looking for energetic, creative, motivated engineers and technologists to work on existing challenging projects and to join our dynamic successful water group. ghd currently employs over 550 water sector staff across north america, including 180 in canada and 20 in bc and alberta. our diversified projects vary from upgrades of existing water and wastewater treatment plants, design of new pump stations, master municipal planning, asset management, linear infrastructure, and water resources. our growing client list includes some of the largest utilities in our region, as well as many smaller agencies and private sector clients. utilizing a “one ghd” approach to collaboration, we leverage industry-leading talent from across the globe to provide our clients with unmatched expertise and service.  the ideal candidate should have strong experience in the design and construction of medium to large municipal, industrial, and resource-sector water infrastructure projects. a demonstrated ability to manage multi-disciplinary teams from concept through detailed design and construction is required, as well as business development skills and the ability to interact professionally with public and private sector clients with minimum supervision. responsibilities will include: supervise, mentor, and provide leadership to a team of engineering professionals located in the seattle office. this team consists of one direct report currently (starting june 2020), with projections of rapid, sustainable, organic growth in the years to come oversee the design, project management, and overall execution of major treatment projects while working cooperatively with multidisciplinary design teams in the preparation of design packages and participating in quality reviews take a leading role in business development initiatives in the seattle market, including collaboration with our pursuit team in the development of high-quality, strategic proposals provide technical direction in detailed design calculations, equipment selection, specifications, and contract documents preparation, collaborating with technical specialists throughout ghd worldwide as needed skills, experience and qualification: bachelor’s degree in civil engineering; professional engineer eligible for registration in the state of washington minimum ten years of experience in a professional consulting environment strong business development skills & experience along with local contacts with some of our key clients in the seattle area and throughout the northwest outstanding interpersonal communication skills (both oral and written), with the ability to interact effectively with all levels of the organization in a collaborative fashion proven supervisory experience in mentoring junior and intermediate engineers and technologists we offer a professional working environment and culture and believe that work/life balance contributes to the success and happiness of our people. we also offer competitive salary packages based on qualifications, skills and experience.  as a multicultural organization, we encourage individual achievement and recognize the strength of a diverse workforce. ghd is an equal opportunity employer. upon request, ghd will provide reasonable accommodation for applicants with disabilities throughout the recruitment and selection process.  #li-tw1",1
"mission design lead - human landing system blue origin kent, wa 98032  description: as part of a passionate and accomplished team of experts, you will be responsible for leading the integrated mission and trajectory design team (across multiple flight elements) for landing payload and humans on the moon. you will responsible for all mission design related products and analyses during all mission phases (development to disposal). you will also be responsible for leading mission design requirements development, validation and verification effort. you will be expected to work closely with the customer, project, mission system engineering and ground navigation team to help drive the overall flight design towards an integrated, cost-effective state. you should be comfortable working in a fast-paced and often uncertain environment, contributing to innovative solutions, while demonstrating personal leadership, technical competence, and attention to detail. this position will directly impact the history of space exploration and will require your dedicated commitment and detailed attention towards safe and repeatable spaceflight. responsibilities: lead a diverse and multi-element and multi-contractor mission/trajectory design team. responsible for end-to-end mission design, optimization and verification for cislunar cargo/human trajectories. responsible for delivering identified products to support design maturation process. support mission planning, crew activity planning, gnc, and ground navigation team during development and operations. lead for planning and executing mission design software development effort. support configuration design studies and develop trajectory solutions while being cognizant of flight element operational constraints. responsible for overall system sizing, mass allocations and propellant allocation requirements development. support systems analysis with a cross-functional mindset to support system level architectural decisions. perform analyses, including monte carlo simulations, to satisfy top-level system specifications and requirements. support the development and execution of component-level navigation test programs, including integrated on-vehicle testing. identify opportunities for safety improvements and operational cost savings qualifications: ph. d. in aerospace engineering with 5+ years of demonstrated mission design expertise or m. s. in aerospace engineering with 10+ years of demonstrated mission design expertise. demonstrated knowledge in the development of space trajectories including inertial high thrust, multi-flyby and low-energy trajectories. ability to develop system level requirements, decompose requirements to subsystems, perform trade studies and analyses related to mission design for launch and space vehicles. demonstrated experience with nasa copernicus trajectory design and optimization system software or equivalent. demonstrated experience with python/matlab/julia programming language. able to identify problems, perform root cause analysis, and implement corrective actions. have deep understanding of trajectory optimization and low-energy trajectory design. excellent technical writing and verbal communication skills. solid system engineering and configuration management skills highly organized and capable of planning and guiding complex technical work. must be a u. s. citizen or national, u. s. permanent resident (current green card holder), or lawfully admitted into the u. s. as a refugee or granted asylum. desired (but not required): ph. d. with emphasis on orbital mechanics and trajectory optimization. experience with designing and implementing trajectories/tools on past flight projects. experience with human-space flight trajectory design. experience with lunar-lander trajectory design. experience with rendezvous and proximity operations trajectory design. experience with otis and post trajectory design software. experience with jpl monte mission design and navigation software. experience in ground-based orbit determination and maneuver design. experience in non-linear optimization as applied to spacecraft trajectory design. ability to continuously manage risk and be comfortable with lean software development techniques. #nasa #artemis #hls #lunar #lander blue origin offers a phenomenal work environment and awesome culture with competitive compensation, benefits, 401k, and relocation.   blue origin is an equal opportunity employer . in addition to eeo being the law, it is a policy that is fully consistent with blue's principles. all qualified applicants will receive consideration for employment without regard to status as a protected veteran or a qualified individual with a disability, or other protected status such as race, religion, color, national origin, sex, sexual orientation, gender identity, genetic information, pregnancy or age. blue origin prohibits any form of workplace harassment.",1
"product development engineer entegris, inc. bloomington, mn 55438  company overview and values: why work at entegris?  lead. inspire. innovate. define your future.  not everyone who works for a global company shares the same background, experiences and perspectives. we leverage the differences of our employees to bring new ideas to the table. every employee throughout the company is encouraged to share input on projects and initiatives. our decision-making process is truly a collaborative effort as we realize there are leaders at every level of the organization. we put our values at the core of how we operate as an organization — not just when it’s convenient, but in a lasting and meaningful way. we want the time and energy you spend here to have a positive impact on your life inside and outside of the office.  entegris is a values-driven culture and our employees rally around our core pace values:  people accountability creativity excellence the role: our team is looking for a product development engineer to join our team in bloomington, mn.  the product development engineer is a key member of the liquid packaging r&d team driving the development of new products, processes, materials and technology in support of our nowpak liquid packaging systems used to store, transport and dispense high purity chemicals and photoresist used in semiconductor manufacturing. the ideal individual will bring 7+ years of product development experience, polymeric film knowledge, statistical know-how and project management skills along with a team first attitude and a passion for asking questions, sharing ideas and exploring new boundaries. in this role you will: be the subject matter expert on thin films and polymeric laminates; explore new technologies related to polymer extrusion and skiving processes; develop new, high purity liquid containers and accessories; support root cause failure analysis efforts and identify product improvement potentials; identify and provide direction on test protocol related to polymeric films such as tensile, gelbo, permeation and uv transmittance; lead projects following a stage gate development process; foster open dialogue with other functions including product management, quality, and manufacturing; translate customer wants into executable technical specifications; think critically and challenge the status quo making our team and our products stronger, more efficient and more valuable. traits we believe make a strong candidate: 7+ years of product development engineering experience; bs, ms in mechanical, chemical or materials engineering (me, che, mat e) or a related field; experience with polymers and polymeric films; knowledge of injection molding, blow molding, extrusion and other polymer conversion methods; an understanding of polymer welding process and laminate strength attributes; strong knowledge of solidworks, rapid prototyping and fabrication techniques, statistics, spc and six sigma methodologies; excellent written & verbal communication skills along with efficient project management skills; experience with chemical resistance testing and hansen solubility parameters; ability to work effectively & respectfully in a team-based & multi-national global engineering environment; knowledge of high purity products and processes as it relates to semiconductor manufacturing requirements. your success will be measured by: completing projects on time and under budget; successfully identifying new materials, processes and technologies followed-by validating their attributes, incorporating them into products and successfully supporting their scale up from concept to commercialization; winning as a team and advancing the growth of our products. what we offer:: our total rewards package goes above and beyond just a paycheck. whether you’re looking to build your career, improve your health, or protect your wealth, we offer generous benefits to help you achieve your goals.  very competitive total compensation plans. a 401(k) plan to help you plan for your future with an impressive employer match that’s all yours- no vesting! great health, dental and vision insurance packages to fit your needs to ensure you’re happy and healthy. a progressive pto policy that empowers our employees to take the time they need to recharge!  at entegris we are committed to providing equal opportunity to all employees and applicants. our policy is to recruit, hire, train, and reward employees for their individual abilities, achievements and experience without regard to race, color, religion, sexual orientation, age, national origin, disability, marital or military status. #li-ats ent789",-1
"mechanisms design engineer sr lockheed martin corporation littleton, co 80125  at the forefront of a new space age, lockheed martin space is a pioneer, partner, innovator and builder. our amazing men and women are on a mission to make a difference in the world and every single day we use our standout skills and experiences to craft, design and build solutions to some of the worlds’ hardest engineering problems. our culture encourages employees to dream big, perform with excellence and build incredible products. we provide the resources, support and focus and if you have the passion and work ethic to excel we want to build a better tomorrow with you.  do you have a commitment to success, proven interpersonal skills, a positive outlook? are you a creative thinker and problem solver? are you looking for an important career?  you will be responsible for establishing the design of the mechanism, including requirements allocation, trade studies, solid modeling, materials evaluations, and analyses. you shall have the ability to generate and release drawings using cad software. your responsibilities will include working on multiple integrated product teams, collaboratively interacting with other engineers, manufacturing personnel, suppliers, and customers. you will represent the organization in design reviews, readiness reviews, and review boards. you will work closely with manufacturing personnel to supervise the build and test of their designs in the production facility located next door to the engineering building. you shall be able to resolve discrepancies that occur during build and test, and you may be nominated to be the certified principal engineer (cpe) for the mechanism. the cpe is the technical advocate for the mechanism and is responsible for all aspects of the mechanism from program inception to launch and on-orbit operations.  to promote the sharing of ideas, lockheed martin cultivates an inclusive work environment that inspires differences and big-picture thinking.  our employees play an active role in strengthening the quality of life where we live and work by volunteering more than 850,000 hours annually. here are some of the benefits you can enjoy:  medical/dental sick and bereavement leave 401k paid time off work/life balance career development mentorship opportunities rewards & recognition eeo: lockheed martin is an equal opportunity/affirmative action employer. you will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. basic qualifications: bs degree in mechanical, aerospace, or related engineering field or equivalent experience, with 5 years of professional experience; or 3 years of professional experience required with a related master's degreeexperience designing spacecraft, aerospace, or mechanical componentsknowledge of mechanical cad modeling and draftingproficient in microsoft suiteability to work in a reciprocal and team-based environmentwilling to travel when requiredus citizen with the ability to obtain and maintain a top secret clearance desired skills: experience designing mechanismsexperience with motors, bearings, gears, resolvers, and potentiometersuser of creo cad softwarefamiliar with releasing drawings in epdm 9.1experience working with and overseeing manufacturing and/or outside suppliersexperience leading small teamsmrb trained and certifiedcpe or cpe delegate experience. cost account manager training/experienceknowledge of geometric dimensioning and tolerancingcurrent dod top secret clearance (or ability to obtain). excellent closure skill basic qualifications: job. qualifications  lockheed martin is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. join us at lockheed martin, where your mission is ours. our customers tackle the hardest missions. those that demand extraordinary amounts of courage, resilience and precision. they’re dangerous. critical. sometimes they even provide an opportunity to change the world and save lives. those are the missions we care about.  as a leading technology innovation company, lockheed martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. lockheed martin has employees based in many states throughout the u. s., and internationally, with business locations in many nations and territories. experience level: experienced professional",1
"dsp engineer blackhorse solutions inc greenwood village, co 80111  blackhorse solutions is seeking motivated individuals dedicated to solving a full spectrum of signal processing challenges in herndon, va. qualified candidates will have experience or interest in the full software lifecycle, including requirements definition, design, implementation, algorithm development, verification, and maintenance of technical sigint processing systems or advanced computing environments. candidates should be comfortable with minimal management in small multi-disciplinary teams striving to achieve specific goals in mission-relevant timelines. technical knowledge of linux computing environments, communication system theory to include rf fundamentals, signal processing algorithm development, x-midas programming, and digital to analog conversion systems is strongly desired.  job requirements:  bachelor’s or master’s degree in electrical engineering, computer engineering, applied mathematics, computer science, or related field demonstrated experience with c/c++, x-midas, python, or java within unix/linux programming environments digital signal processing (dsp) background with strong understanding of communication systems design and theory must have demonstrated problem-solving, verbal and written communication, and organizational skills. must have experience with microsoft office products (word, powerpoint, excel, and project). prior experience as a digital signal engineer a plus active ts/sci clearance and u. s. citizenship required  desired experience:  x-midas: 1 year (preferred) c/c++, python, or java: 2 years (preferred)  security clearance requirements: applicants selected will be subject to a government security investigation and must meet eligibility requirements. u. s. citizenship is required.  we are proud to be an equal opportunity/affirmative action employer. people seeking employment at blackhorse solutions, inc. are considered without regards to race, color, religion, national origin, age, sex, marital status, sexual orientation, ancestry, genetics, physical or mental disability, or veteran status.",-1
"logistics engineer - ts required odyssey systems hanscom afb, ma 01731  job location: hanscom afb, ma job responsibilities: duties include, but not limited to: performs analysis and appraisal of hardware designs to identify and document maintenance and support requirements. reviews engineering design and changes and analyze equipment characteristics. utilizes logistics modeling techniques to predict maintenance levels and costs. establishes maintenance/support concepts and provides sustaining engineering to fielded programs represents supportability interests at configuration control boards (ccbs) and at all design reviews and program management meetings. prepares statements of work (sows) for program supportability requirements evaluates contractor proposals and ensures the design meets supportability requirements participates in technical order (t. o.) and source data development and leads t. o. verification efforts assesses contractors' reliability, maintainability, supportability (rms) and safety and human factors analyses supports the acquisition of spares and support equipment for new systems coordinates training requirements and schedules with contractors and users develops life cycle sustainment plans (lcsps), reliability availability, maintainability cost (ram-c) reports, and transfer plans to ensure supportability requirements are achieved during the program life cycle co-chairs material fielding integrated product team and sustainment working groups qualifications top secret sci clearance required bachelor’s degree and ten (10) or more years of experience in dod acquisition with a minimum of five (5) years in acquisition logistics. demonstrated ability to work multiple project efforts and interface with multiple contractors, government, and us military personnel at various levels excellent communication skills (verbal and written) required proficiency powerpoint, excel and word required and highly desired in microsoft project odyssey systems consulting group, ltd. is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, national origin, disability, sexual orientation, gender identity or expression, marital status, genetic information, protected veteran status, or other factors protected by federal, state, and/or local law. this policy applies to all terms and conditions of employment, including recruiting; hiring; placement; promotion; termination; layoff; recall; transfer; leaves of absence; compensation; and training. #li-mp1 equal opportunity employer/protected veterans/individuals with disabilities the contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. however, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 cfr 60-1.35(c)",1
"variable refrigerant flow (vrf) specialist jb university seattle, wa  seattle, wa summary the primary function of the inside sales engineer is to serve as a support role to the outside sales engineers. activities will range from pre-sale support such as estimating, quoting, and communicating directly with customers, as well as providing post-sale support by generating equipment submitting and providing on-site technical assistance to our customers. job duties assist with the design/layout of variable refrigerant flow (vrf) system, including selection of components and layout of refrigerant piping prepare equipment selections and quotes for the outside sales team along with parts quotes for replacement equipment based on mechanical plans and specifications provide first level technical assistance for equipment installations and installed equipment manage customer accounts that are not specifically assigned to an outside sales engineer qualifications degree in mechanical engineering preferred 1-3 years of relevant experience in the hvac industry proficiency in autocad or similar design programs thorough understanding of construction and contracting models (design/build etc)",-1
